Title,Author,Link,Bookshelf
The Extermination of the American Bison,William T. Hornaday,http://www.gutenberg.org/ebooks/17748,Animal
Deadfalls and Snares,A. R. Harding,http://www.gutenberg.org/ebooks/34110,Animal
Artistic Anatomy of Animals,Édouard Cuyer,http://www.gutenberg.org/ebooks/38315,Animal
"Birds, Illustrated","Color Photography, Vol. 1, No. 1 Various",http://www.gutenberg.org/ebooks/30221,Animal
On Snake-Poison: Its Action and Its Antidote,A. Mueller,http://www.gutenberg.org/ebooks/32947,Animal
Fifty Years a Hunter and Trapper,E. N. Woodcock,http://www.gutenberg.org/ebooks/34063,Animal
What Bird is That?,Frank M. Chapman,http://www.gutenberg.org/ebooks/31751,Animal
"Fox Trapping: A Book of Instruction Telling How to Trap, Snare, Poison and Shoot",,http://www.gutenberg.org/ebooks/34076,Animal
A Guide for the Study of Animals,"Lucas, Shinn, Smallwood, and Whitney",http://www.gutenberg.org/ebooks/34984,Animal
Our Vanishing Wild Life: Its Extermination and Preservation,William T. Hornaday,http://www.gutenberg.org/ebooks/13249,Animal
Wolf and Coyote Trapping: An Up-to-Date Wolf Hunter's Guide,A. R. Harding,http://www.gutenberg.org/ebooks/34501,Animal
Birds and Man,W. H. Hudson,http://www.gutenberg.org/ebooks/37787,Animal
"Zoological Mythology; or, The Legends of Animals, Volume 1 (of 2)",De Gubernatis,http://www.gutenberg.org/ebooks/38687,Animal
Antarctic Penguins: A Study of Their Social Habits,G. Murray Levick,http://www.gutenberg.org/ebooks/36922,Animal
Butterflies and Moths (British),William S. Furneaux,http://www.gutenberg.org/ebooks/34131,Animal
The Bird Book,Chester A. Reed,http://www.gutenberg.org/ebooks/30000,Animal
Hunting in Many Lands: The Book of the Boone and Crockett Club,Grinnell et al.,http://www.gutenberg.org/ebooks/37122,Animal
Wild Animals at Home,Ernest Thompson Seton,http://www.gutenberg.org/ebooks/27887,Animal
Birds from North Borneo,Max C. Thompson,http://www.gutenberg.org/ebooks/33044,Animal
Sketches of the Natural History of Ceylon,Sir James Emerson Tennent,http://www.gutenberg.org/ebooks/13325,Animal
Natural History of the Mammalia of India and Ceylon,Robert Armitage Sterndale,http://www.gutenberg.org/ebooks/19550,Animal
Butterflies Worth Knowing,Clarence Moores Weed,http://www.gutenberg.org/ebooks/37009,Animal
Animals of the Past,Frederic A. Lucas,http://www.gutenberg.org/ebooks/38013,Animal
Science of Trapping,Elmer Harry Kreps,http://www.gutenberg.org/ebooks/34098,Animal
"Wild Bees, Wasps and Ants and Other Stinging Insects",Edward Saunders,http://www.gutenberg.org/ebooks/33874,Animal
The Call of the Wild,Jack London,http://www.gutenberg.org/ebooks/215,Animals-Domestic
A Dog of Flanders,Ouida,http://www.gutenberg.org/ebooks/7766,Animals-Domestic
Our Cats and All About Them,Harrison Weir,http://www.gutenberg.org/ebooks/35450,Animals-Domestic
Lad: A Dog,Albert Payson Terhune,http://www.gutenberg.org/ebooks/38777,Animals-Domestic
The Tale of Old Dog Spot,Arthur Scott Bailey,http://www.gutenberg.org/ebooks/30667,Animals-Domestic
Kerfol,Edith Wharton,http://www.gutenberg.org/ebooks/24350,Animals-Domestic
Anecdotes of Dogs,Edward Jesse,http://www.gutenberg.org/ebooks/26500,Animals-Domestic
Letters from a Cat,Helen Hunt Jackson,http://www.gutenberg.org/ebooks/32069,Animals-Domestic
The Dog,"Dinks, W. N. Hutchinson, and Edward Mayhew",http://www.gutenberg.org/ebooks/32300,Animals-Domestic
Hunting Dogs,Oliver Hartley,http://www.gutenberg.org/ebooks/34259,Animals-Domestic
"The Variation of Animals and Plants Under Domestication, Vol. I.",Charles Darwin,http://www.gutenberg.org/ebooks/24923,Animals-Domestic
"The Adventures of a Cat, and a Fine Cat Too!",Alfred Elwes,http://www.gutenberg.org/ebooks/32518,Animals-Domestic
Domestic Animals,Richard Lamb Allen,http://www.gutenberg.org/ebooks/34175,Animals-Domestic
"A Manual of Toy Dogs: How to breed, rear, and feed them",Mrs. Leslie Williams,http://www.gutenberg.org/ebooks/39235,Animals-Domestic
Our Friend the Dog,Maurice Maeterlinck,http://www.gutenberg.org/ebooks/18214,Animals-Domestic
The Dog's Book of Verse,J. Earl Clauson,http://www.gutenberg.org/ebooks/19226,Animals-Domestic
Pussy and Doggy Tales,E. Nesbit,http://www.gutenberg.org/ebooks/27190,Animals-Domestic
The Variation of Animals and Plants under Domestication,Charles Darwin,http://www.gutenberg.org/ebooks/3332,Animals-Domestic
The Kitten's Garden of Verses,Oliver Herford,http://www.gutenberg.org/ebooks/23433,Animals-Domestic
The Raising and Care of Guinea Pigs,Allen Christian Smith,http://www.gutenberg.org/ebooks/32189,Animals-Domestic
Domesticated Animals,Nathaniel Southgate Shaler,http://www.gutenberg.org/ebooks/25568,Animals-Domestic
Finn The Wolfhound,A. J. Dawson,http://www.gutenberg.org/ebooks/30550,Animals-Domestic
Baldy of Nome,Esther Birdsall Darling,http://www.gutenberg.org/ebooks/11758,Animals-Domestic
"Sheep, Swine, and Poultry",Robert Jennings,http://www.gutenberg.org/ebooks/39205,Animals-Domestic
"Lola; Or, The Thought and Speech of Animals",Henny Kindermann,http://www.gutenberg.org/ebooks/25887,Animals-Domestic
The Life of the Spider,Jean-Henri Fabre,http://www.gutenberg.org/ebooks/1887,Animals-Wild
Artistic Anatomy of Animals,Édouard Cuyer,http://www.gutenberg.org/ebooks/38315,Animals-Wild
A Guide for the Study of Animals,"Lucas, Shinn, Smallwood, and Whitney",http://www.gutenberg.org/ebooks/34984,Animals-Wild
Our Vanishing Wild Life: Its Extermination and Preservation,William T. Hornaday,http://www.gutenberg.org/ebooks/13249,Animals-Wild
Ways of Nature,John Burroughs,http://www.gutenberg.org/ebooks/30249,Animals-Wild
The Human Side of Animals,Royal Dixon,http://www.gutenberg.org/ebooks/19850,Animals-Wild
"The Wonders of the Jungle, Book One",Sarath Kumar Ghosh,http://www.gutenberg.org/ebooks/24852,Animals-Wild
"Zoological Mythology; or, The Legends of Animals, Volume 1 (of 2)",De Gubernatis,http://www.gutenberg.org/ebooks/38687,Animals-Wild
Wild Animals at Home,Ernest Thompson Seton,http://www.gutenberg.org/ebooks/27887,Animals-Wild
Ways of Wood Folk,William J. Long,http://www.gutenberg.org/ebooks/18193,Animals-Wild
Animals of the Past,Frederic A. Lucas,http://www.gutenberg.org/ebooks/38013,Animals-Wild
A Hundred Anecdotes of Animals,Percy J. Billinghurst,http://www.gutenberg.org/ebooks/24263,Animals-Wild
Squirrels and Other Fur-Bearers,John Burroughs,http://www.gutenberg.org/ebooks/24388,Animals-Wild
Stories about Animals: with Pictures to Match,Francis C. Woodworth,http://www.gutenberg.org/ebooks/18767,Animals-Wild
"Zoological Illustrations, Volume 1",William Swainson,http://www.gutenberg.org/ebooks/39471,Animals-Wild
Creatures of the Night: A Book of Wild Life in Western Britain,Rees,http://www.gutenberg.org/ebooks/29349,Animals-Wild
The Minds and Manners of Wild Animals: A Book of Personal Observations,Hornaday,http://www.gutenberg.org/ebooks/6052,Animals-Wild
Tales of the Fish Patrol,Jack London,http://www.gutenberg.org/ebooks/28693,Animals-Wild
Wilderness Ways,William J. Long,http://www.gutenberg.org/ebooks/15950,Animals-Wild
Wild Nature Won By Kindness,Mrs. Brightwen,http://www.gutenberg.org/ebooks/21111,Animals-Wild
Marvels of Pond-life,Henry James Slack,http://www.gutenberg.org/ebooks/36903,Animals-Wild
The Determined Angler and the Brook Trout,Charles Barker Bradford,http://www.gutenberg.org/ebooks/37856,Animals-Wild
"Lobo, Rag and Vixen",Ernest Thompson Seton,http://www.gutenberg.org/ebooks/14226,Animals-Wild
Anecdotes of the Habits and Instinct of Animals,Mrs. R. Lee,http://www.gutenberg.org/ebooks/21973,Animals-Wild
Natural History in Anecdote,Alfred H. Miles,http://www.gutenberg.org/ebooks/37959,Animals-Wild
The Extermination of the American Bison,William T. Hornaday,http://www.gutenberg.org/ebooks/17748,Animals-Wild-Trapping
Deadfalls and Snares,A. R. Harding,http://www.gutenberg.org/ebooks/34110,Animals-Wild-Trapping
Fifty Years a Hunter and Trapper,E. N. Woodcock,http://www.gutenberg.org/ebooks/34063,Animals-Wild-Trapping
"Fox Trapping: A Book of Instruction Telling How to Trap, Snare, Poison and Shoot",,http://www.gutenberg.org/ebooks/34076,Animals-Wild-Trapping
Practical Taxidermy,Montagu Browne,http://www.gutenberg.org/ebooks/26014,Animals-Wild-Trapping
Our Vanishing Wild Life: Its Extermination and Preservation,William T. Hornaday,http://www.gutenberg.org/ebooks/13249,Animals-Wild-Trapping
Jorrocks' Jaunts and Jollities,Robert Smith Surtees,http://www.gutenberg.org/ebooks/15387,Animals-Wild-Trapping
Hunting in Many Lands: The Book of the Boone and Crockett Club,Grinnell et al.,http://www.gutenberg.org/ebooks/37122,Animals-Wild-Trapping
Science of Trapping,Elmer Harry Kreps,http://www.gutenberg.org/ebooks/34098,Animals-Wild-Trapping
Buffalo Land,W. E. Webb,http://www.gutenberg.org/ebooks/39674,Animals-Wild-Trapping
Home Taxidermy for Pleasure and Profit,Albert Burton Farnham,http://www.gutenberg.org/ebooks/23259,Animals-Wild-Trapping
ABC of Fox Hunting,Sir John Dean Paul,http://www.gutenberg.org/ebooks/30243,Animals-Wild-Trapping
Mr. Sponge's Sporting Tour,Robert Smith Surtees,http://www.gutenberg.org/ebooks/16957,Animals-Wild-Trapping
Mink Trapping: A Book of Instruction Giving Many Methods of Trapping,Harding,http://www.gutenberg.org/ebooks/34093,Animals-Wild-Trapping
The Confessions of a Poacher,F.L.S. John Watson,http://www.gutenberg.org/ebooks/36970,Animals-Wild-Trapping
Fur Farming,A. R. Harding,http://www.gutenberg.org/ebooks/33830,Animals-Wild-Trapping
Methods of Destroying Rats,David E. Lantz,http://www.gutenberg.org/ebooks/34437,Animals-Wild-Trapping
Taxidermy,Leon Luther Pray,http://www.gutenberg.org/ebooks/29691,Animals-Wild-Trapping
Blue-Bird Weather,Robert W. Chambers,http://www.gutenberg.org/ebooks/24389,Animals-Wild-Trapping
Off to the Wilds: Being the Adventures of Two Brothers,George Manville Fenn,http://www.gutenberg.org/ebooks/21359,Animals-Wild-Trapping
The Hunters' Feast: Conversations Around the Camp Fire,Mayne Reid,http://www.gutenberg.org/ebooks/23499,Animals-Wild-Trapping
Letters on an Elk Hunt,Elinore Pruitt Stewart,http://www.gutenberg.org/ebooks/28572,Animals-Wild-Trapping
The Giraffe Hunters,Mayne Reid,http://www.gutenberg.org/ebooks/27911,Animals-Wild-Trapping
Dead Man's Land,George Manville Fenn,http://www.gutenberg.org/ebooks/23922,Animals-Wild-Trapping
Game Birds and Game Fishes of the Pacific Coast,Harry Thom Payne,http://www.gutenberg.org/ebooks/38032,Animals-Wild-Trapping
